EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0025422432,Negative Binomial,0.6147132956,12.772727273,2,6.5418982727,2.0499242192,0,0.99999999,ANOVA,0.0022854601,0.1363636364,2,-0.022569364,-1.165508667,0,1.1025502E-8,Negative Binomial,1.0531925097,11.909090909,2,7.4460649091,2.6683893191,1,0.1879914787,ANOVA,-0.276386755,0.8181818182,2,-0.862500182,-2.054166889,0,0.9999990778,Negative Binomial,0.0987195081,0.0454545455,2,-0.020833455,-1.458336,0,0.0025422432,Negative Binomial,0.6147132956,12.772727273,2,6.5418982727,2.0499242192,0,1.1025502E-8,Negative Binomial,1.0531925097,11.909090909,2,7.4460649091,2.6683893191,1,0.1879914787,ANOVA,-0.276386755,0.8181818182,2,-0.862500182,-2.054166889,0
SITEID(COUNTRY),AUS,0028,0.8810039915,Negative Binomial,0.3709235677,6.3636363636,11,0.1328073636,1.0213145576,0,0.7264919532,ANOVA,0.1649253641,0.2727272727,11,0.1137942727,1.7159889559,0,0.8108590462,Negative Binomial,0.4204402588,5,11,0.536974,1.1203161263,0,0.99999999,ANOVA,0.0533176013,1.2727272727,11,-0.407954727,-1.320535857,0,0.9998038148,ANOVA,0.0538148593,0.0909090909,11,0.0246210909,1.3714260637,0,0.8810039915,Negative Binomial,0.3709235677,6.3636363636,11,0.1328073636,1.0213145576,0,0.8108590462,Negative Binomial,0.4204402588,5,11,0.536974,1.1203161263,0,0.99999999,ANOVA,0.0533176013,1.2727272727,11,-0.407954727,-1.320535857,0
SITEID(COUNTRY),AUS,0029,0.0161425504,Negative Binomial,0.9725329017,19.181818182,11,12.950989182,3.0785338808,1,0.9940876598,ANOVA,-0.107801909,0,11,-0.158933,-100,0,3.1181747E-9,Negative Binomial,1.7458258681,18.818181818,11,14.355155818,4.2164625118,1,0.4507201456,ANOVA,-0.438883632,0.3636363636,11,-1.317045636,-4.6218755,0,0.9999997098,ANOVA,-0.037094232,0,11,-0.066288,-100,0,0.0161425504,Negative Binomial,0.9725329017,19.181818182,11,12.950989182,3.0785338808,1,3.1181747E-9,Negative Binomial,1.7458258681,18.818181818,11,14.355155818,4.2164625118,1,0.4507201456,ANOVA,-0.438883632,0.3636363636,11,-1.317045636,-4.6218755,0
COUNTRY,DEU,,0.9260693436,Negative Binomial,-0.295430587,4.625,2,-1.605829,-1.34720627,0,0.4180122889,ANOVA,0.167698519,0.375,2,0.216067,2.3594848144,0,0.3268038937,Negative Binomial,-0.968550563,3.425,2,-1.038026,-1.303073285,0,0.9999999873,ANOVA,-0.013031138,1.075,2,-0.605682,-1.563425116,0,0.7094091034,ANOVA,0.0818352488,0.125,2,0.058712,1.8857108376,0,0.9260693436,Negative Binomial,-0.295430587,4.625,2,-1.605829,-1.34720627,0,0.3268038937,Negative Binomial,-0.968550563,3.425,2,-1.038026,-1.303073285,0,0.9999999873,ANOVA,-0.013031138,1.075,2,-0.605682,-1.563425116,0
SITEID(COUNTRY),DEU,1239,0.5896257795,Negative Binomial,0.6868069208,8,5,1.769171,1.283938301,0,0.9999900438,ANOVA,-0.107801909,0,5,-0.158933,-100,0,0.5897427953,Negative Binomial,0.698071996,6.6,5,2.136974,1.4788172867,0,0.9999978386,ANOVA,0.2248436996,1.4,5,-0.280682,-1.200487143,0,0.99999999,Negative Binomial,-0.064568334,0,5,-0.066288,-100,0,0.5896257795,Negative Binomial,0.6868069208,8,5,1.769171,1.283938301,0,0.5897427953,Negative Binomial,0.698071996,6.6,5,2.136974,1.4788172867,0,0.9999978386,ANOVA,0.2248436996,1.4,5,-0.280682,-1.200487143,0
SITEID(COUNTRY),DEU,1648,0.5356393577,Negative Binomial,-1.163638216,1.25,4,-4.980829,-4.9846632,0,0.024244717,ANOVA,0.495751482,0.75,4,0.591067,4.7189696287,0,0.2601864338,Negative Binomial,-2.575292015,0.25,4,-4.213026,-17.852104,0,0.99999999,ANOVA,-0.083698496,0.75,4,-0.930682,-2.240909333,0,0.4278488456,ANOVA,0.2129057684,0.25,4,0.183712,3.7714216751,0,0.5356393577,Negative Binomial,-1.163638216,1.25,4,-4.980829,-4.9846632,0,0.2601864338,Negative Binomial,-2.575292015,0.25,4,-4.213026,-17.852104,0,0.99999999,ANOVA,-0.083698496,0.75,4,-0.930682,-2.240909333,0
COUNTRY,ESP,,0.9995859264,ANOVA,-0.118222193,5.3333333333,3,-0.897495667,-1.168280438,0,0.0378176224,ANOVA,0.2548107126,0.3888888889,3,0.2299558889,2.4468731408,0,0.8506668255,ANOVA,-0.349486824,2.6944444444,3,-1.768581556,-1.656380784,0,0.6144028757,ANOVA,0.303995175,2.3888888889,3,0.7082068889,1.4213806591,0,0.9824794008,ANOVA,0.0401685821,0.0833333333,3,0.0170453333,1.2571405584,0,0.9995859264,ANOVA,-0.118222193,5.3333333333,3,-0.897495667,-1.168280438,0,0.8506668255,ANOVA,-0.349486824,2.6944444444,3,-1.768581556,-1.656380784,0,0.6144028757,ANOVA,0.303995175,2.3888888889,3,0.7082068889,1.4213806591,0
SITEID(COUNTRY),ESP,1618,0.659912905,Negative Binomial,0.5773497487,8.5,6,2.269171,1.3641844448,0,0.99999999,ANOVA,0.0588647581,0.1666666667,6,0.0077336667,1.0486599175,0,0.999672809,ANOVA,-0.420159097,2.3333333333,6,-2.129692667,-1.912725429,0,2.7468723E-7,ANOVA,1.6837471266,6.1666666667,6,4.4859846667,3.6691454223,1,0.99999999,ANOVA,-0.037094232,0,6,-0.066288,-100,0,0.659912905,Negative Binomial,0.5773497487,8.5,6,2.269171,1.3641844448,0,0.999672809,ANOVA,-0.420159097,2.3333333333,6,-2.129692667,-1.912725429,0,2.7468723E-7,ANOVA,1.6837471266,6.1666666667,6,4.4859846667,3.6691454223,1
SITEID(COUNTRY),ESP,1651,0.9999446633,Negative Binomial,-0.569655782,2.5,2,-3.730829,-2.4923316,0,0.7648339082,ANOVA,0.3921980914,0.5,2,0.341067,3.1459797525,0,0.9999986205,Negative Binomial,-0.495850473,2,2,-2.463026,-2.231513,0,0.971262042,ANOVA,-0.687251887,0,2,-1.680682,-100,0,0.99999999,Negative Binomial,-0.095897627,0,2,-0.066288,-100,0,0.9999446633,Negative Binomial,-0.569655782,2.5,2,-3.730829,-2.4923316,0,0.9999986205,Negative Binomial,-0.495850473,2,2,-2.463026,-2.231513,0,0.971262042,ANOVA,-0.687251887,0,2,-1.680682,-100,0
SITEID(COUNTRY),ESP,1653,0.99999999,Negative Binomial,0.0001339999,5,4,-1.230829,-1.2461658,0,0.1830175135,ANOVA,0.3921980914,0.5,4,0.341067,3.1459797525,0,0.99999999,Negative Binomial,0.1327581861,3.75,4,-0.713026,-1.190140267,0,0.99999999,ANOVA,0.1663015037,1,4,-0.680682,-1.680682,0,0.4278488456,ANOVA,0.2129057684,0.25,4,0.183712,3.7714216751,0,0.99999999,Negative Binomial,0.0001339999,5,4,-1.230829,-1.2461658,0,0.99999999,Negative Binomial,0.1327581861,3.75,4,-0.713026,-1.190140267,0,0.99999999,ANOVA,0.1663015037,1,4,-0.680682,-1.680682,0
COUNTRY,GBR,,0.0980807851,Negative Binomial,0.5638181834,10.066666667,2,3.8358376667,1.6156223621,0,0.6487358838,ANOVA,-0.134078176,0,2,-0.158933,-100,0,0.0760408058,Negative Binomial,0.6354028335,6.4,2,1.936974,1.4340046417,0,0.1777244002,ANOVA,0.4681407736,3.6666666667,2,1.9859846667,2.1816540349,0,0.9788116289,ANOVA,-0.043164751,0,2,-0.066288,-100,0,0.0980807851,Negative Binomial,0.5638181834,10.066666667,2,3.8358376667,1.6156223621,0,0.0760408058,Negative Binomial,0.6354028335,6.4,2,1.936974,1.4340046417,0,0.1777244002,ANOVA,0.4681407736,3.6666666667,2,1.9859846667,2.1816540349,0
SITEID(COUNTRY),GBR,1287,0.9998542121,Negative Binomial,0.2297179375,6.8,10,0.569171,1.0913475558,0,0.9969684844,ANOVA,-0.107801909,0,10,-0.158933,-100,0,0.0570332078,Negative Binomial,0.7279249588,6.8,10,2.336974,1.5236299318,0,0.0266471321,ANOVA,-0.687251887,0,10,-1.680682,-100,0,0.9999998933,ANOVA,-0.037094232,0,10,-0.066288,-100,0,0.9998542121,Negative Binomial,0.2297179375,6.8,10,0.569171,1.0913475558,0,0.0570332078,Negative Binomial,0.7279249588,6.8,10,2.336974,1.5236299318,0,0.0266471321,ANOVA,-0.687251887,0,10,-1.680682,-100,0
SITEID(COUNTRY),GBR,1654,0.2344632487,Negative Binomial,1.0119483075,13.333333333,3,7.1025043333,2.1398971683,0,0.9999999262,ANOVA,-0.107801909,0,3,-0.158933,-100,0,0.9829209759,Negative Binomial,0.6027618158,6,3,1.536974,1.3443793516,0,0.0002648842,ANOVA,1.7907409132,7.3333333333,3,5.6526513333,4.3633080698,1,0.99999999,Negative Binomial,-0.183125799,0,3,-0.066288,-100,0,0.2344632487,Negative Binomial,1.0119483075,13.333333333,3,7.1025043333,2.1398971683,0,0.9829209759,Negative Binomial,0.6027618158,6,3,1.536974,1.3443793516,0,0.0002648842,ANOVA,1.7907409132,7.3333333333,3,5.6526513333,4.3633080698,1
COUNTRY,JPN,,0.9914313674,ANOVA,0.303308105,6.7222222222,3,0.4913932222,1.0788648224,0,0.9710446811,ANOVA,0.1016240841,0.3333333333,3,0.1744003333,2.097319835,0,0.9747864483,Negative Binomial,-0.316254807,3.5,3,-0.963026,-1.275150286,0,0.1616652058,ANOVA,0.6707362642,2.8888888889,3,1.2082068889,1.7188789366,0,0.1419432813,ANOVA,0.1925375092,0.3333333333,3,0.2670453333,5.0285622335,0,0.9914313674,ANOVA,0.303308105,6.7222222222,3,0.4913932222,1.0788648224,0,0.9747864483,Negative Binomial,-0.316254807,3.5,3,-0.963026,-1.275150286,0,0.1616652058,ANOVA,0.6707362642,2.8888888889,3,1.2082068889,1.7188789366,0
SITEID(COUNTRY),JPN,1346,0.9333345916,Negative Binomial,-0.901111897,1.6666666667,3,-4.564162333,-3.7384974,0,0.9999999262,ANOVA,-0.107801909,0,3,-0.158933,-100,0,0.8436079443,Negative Binomial,-1.188997654,1,3,-3.463026,-4.463026,0,0.9999999876,ANOVA,-0.215847366,0.6666666667,3,-1.014015333,-2.521023,0,0.99999999,Negative Binomial,-0.091131671,0,3,-0.066288,-100,0,0.9333345916,Negative Binomial,-0.901111897,1.6666666667,3,-4.564162333,-3.7384974,0,0.8436079443,Negative Binomial,-1.188997654,1,3,-3.463026,-4.463026,0,0.9999999876,ANOVA,-0.215847366,0.6666666667,3,-1.014015333,-2.521023,0
SITEID(COUNTRY),JPN,1722,0.2862867009,Negative Binomial,1.2138809661,13.5,2,7.269171,2.1666458829,0,0.1117291708,ANOVA,0.5993048726,1,2,0.841067,6.2919595049,0,0.9267308262,ANOVA,1.1733080165,7.5,2,3.036974,1.6804741895,0,0.0728695925,ANOVA,1.4340684567,5,2,3.319318,2.9749827748,0,0.000052263,ANOVA,0.6700125496,1,2,0.933712,15.0856867,0,0.2862867009,Negative Binomial,1.2138809661,13.5,2,7.269171,2.1666458829,0,0.9267308262,ANOVA,1.1733080165,7.5,2,3.036974,1.6804741895,0,0.0728695925,ANOVA,1.4340684567,5,2,3.319318,2.9749827748,0
SITEID(COUNTRY),JPN,1723,0.99999999,Negative Binomial,0.1700049529,5,1,-1.230829,-1.2461658,0,0.99999999,ANOVA,-0.107801909,0,1,-0.158933,-100,0,0.9999999899,Negative Binomial,-0.495850473,2,1,-2.463026,-2.231513,0,0.9444980979,ANOVA,1.0447989207,3,1,1.319318,1.7849896649,0,0.99999999,Negative Binomial,0.0058721793,0,1,-0.066288,-100,0,0.99999999,Negative Binomial,0.1700049529,5,1,-1.230829,-1.2461658,0,0.9999999899,Negative Binomial,-0.495850473,2,1,-2.463026,-2.231513,0,0.9444980979,ANOVA,1.0447989207,3,1,1.319318,1.7849896649,0
COUNTRY,TUR,,0.6799787378,Negative Binomial,-0.633390434,2.25,1,-3.980829,-2.769257333,0,0.9356097911,ANOVA,-0.134078176,0,1,-0.158933,-100,0,0.9423750074,Negative Binomial,-0.408007991,2.25,1,-2.213026,-1.983567111,0,0.1370800853,ANOVA,-0.770855626,0,1,-1.680682,-100,0,0.9980562898,ANOVA,-0.043164751,0,1,-0.066288,-100,0,0.6799787378,Negative Binomial,-0.633390434,2.25,1,-3.980829,-2.769257333,0,0.9423750074,Negative Binomial,-0.408007991,2.25,1,-2.213026,-1.983567111,0,0.1370800853,ANOVA,-0.770855626,0,1,-1.680682,-100,0
SITEID(COUNTRY),TUR,1650,0.9939124352,Negative Binomial,-0.576375495,2.25,4,-3.980829,-2.769257333,0,0.9999987705,ANOVA,-0.107801909,0,4,-0.158933,-100,0,0.9999894251,Negative Binomial,-0.378067438,2.25,4,-2.213026,-1.983567111,0,0.6114051193,ANOVA,-0.687251887,0,4,-1.680682,-100,0,0.99999999,Negative Binomial,-0.19090556,0,4,-0.066288,-100,0,0.9939124352,Negative Binomial,-0.576375495,2.25,4,-3.980829,-2.769257333,0,0.9999894251,Negative Binomial,-0.378067438,2.25,4,-2.213026,-1.983567111,0,0.6114051193,ANOVA,-0.687251887,0,4,-1.680682,-100,0
COUNTRY,USA,,0.042002142,Negative Binomial,-0.328406753,5.1085858586,11,-1.122243141,-1.219677847,0,0.2919977066,ANOVA,-0.077259994,0.0568181818,11,-0.102114818,-2.7972208,0,0.0295530269,Negative Binomial,-0.408712344,3.8919191919,11,-0.571106808,-1.146741692,0,0.9990102182,ANOVA,-0.03681837,1.2166666667,11,-0.464015333,-1.381382466,0,0.4404389612,ANOVA,-0.043164751,0,11,-0.066288,-100,0,0.042002142,Negative Binomial,-0.328406753,5.1085858586,11,-1.122243141,-1.219677847,0,0.0295530269,Negative Binomial,-0.408712344,3.8919191919,11,-0.571106808,-1.146741692,0,0.9990102182,ANOVA,-0.03681837,1.2166666667,11,-0.464015333,-1.381382466,0
