EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0679017268,Negative Binomial,-0.538772023,98.208333333,2,-28.54456667,-1.290653203,0,0.6224507946,ANOVA,0.0984763871,0.2916666667,2,0.1190476667,1.6896556385,0,0.0549445686,Negative Binomial,-0.596484159,97.041666667,2,-26.55693333,-1.273665264,0,0.0000427286,ANOVA,-0.664588756,1.0416666667,2,-2.016666333,-2.93599968,-1,0.9913192661,ANOVA,0.0173885813,0.125,2,0.037946,1.4358903669,0,0.053736382,Negative Binomial,0.2631034205,13.666666667,2,3.6406266667,1.3631171097,0,0.0001279557,Negative Binomial,0.5469609624,12.5,2,5.60744,1.8135496826,1,0.0000989942,ANOVA,-0.643798191,1.0416666667,2,-1.995833333,-2.916,0
SITEID(COUNTRY),AUS,0028,0.0000684777,Negative Binomial,-2.050478361,10.666666667,6,-116.0862333,-11.88308438,-1,0.9852273507,ANOVA,0.1764560972,0.3333333333,6,0.1607143333,1.9310350155,0,0.000048106,Negative Binomial,-2.217958396,8.6666666667,6,-114.9319333,-14.26137692,-1,0.9956366521,Negative Binomial,1.0410069296,2,6,-1.058333,-1.5291665,0,0.9999739318,ANOVA,-0.074723425,0,6,-0.087054,-100,0,0.99999999,Negative Binomial,0.0343063311,10.333333333,6,0.3072933333,1.030649522,0,0.9816137131,Negative Binomial,0.2553962791,8.3333333333,6,1.4407733333,1.2090331217,0,0.9953986513,Negative Binomial,1.0555287081,2,6,-1.0375,-1.51875,0
SITEID(COUNTRY),AUS,0029,0.0480685735,Negative Binomial,0.8158804512,185.75,12,58.9971,1.4654497057,0,0.9999081293,ANOVA,0.075179528,0.25,12,0.077381,1.4482762616,0,0.0491227769,Negative Binomial,0.8605055073,185.41666667,12,61.818066667,1.5001518356,1,8.008566E-8,ANOVA,-1.154607673,0.0833333333,12,-2.974999667,-36.699996,-1,0.8153787477,ANOVA,0.1264610389,0.25,12,0.162946,2.8717807338,0,0.0008431132,Negative Binomial,0.5219773121,17,12,6.97396,1.6955846974,0,9.2040818E-8,Negative Binomial,0.9389838084,16.666666667,12,9.7741066667,2.4180662434,1,1.5864085E-7,ANOVA,-1.14178716,0.0833333333,12,-2.954166667,-36.45,-1
COUNTRY,GBR,,0.0003238361,ANOVA,7.4207050928,292.375,2,165.6221,2.3066533389,1,0.9524282937,ANOVA,0.0641178461,0.25,2,0.077381,1.4482762616,0,0.000387519,ANOVA,7.5220243692,287.875,2,164.2764,2.329112142,1,0.1971525427,ANOVA,0.401719872,4.5,2,1.441667,1.4713898061,0,0.7986804818,ANOVA,-0.08320365,0,2,-0.087054,-100,0,0.011924305,Negative Binomial,0.4634905296,17.25,2,7.22396,1.7205197665,0,0.0028873834,Negative Binomial,0.6181669261,12.75,2,5.85744,1.8498206762,1,0.1748279236,ANOVA,0.4225104376,4.5,2,1.4625,1.4814814815,0
SITEID(COUNTRY),GBR,1287,0.0067374928,ANOVA,9.6270570905,353.75,4,226.9971,2.7908631676,1,0.617659046,ANOVA,0.361078565,0.5,4,0.327381,2.8965525232,0,0.0068507362,ANOVA,9.8682186058,353.25,4,229.6514,2.8580420814,1,0.2660940977,ANOVA,-0.737941006,0.5,4,-2.558333,-6.116666,0,0.9999984702,ANOVA,-0.074723425,0,4,-0.087054,-100,0,0.9999999778,Negative Binomial,0.087523781,11,4,0.97396,1.0971430395,0,0.6509692142,Negative Binomial,0.4766343389,10.5,4,3.60744,1.5233817333,0,0.3155329565,ANOVA,-0.725120493,0.5,4,-2.5375,-6.075,0
SITEID(COUNTRY),GBR,1654,0.4254332653,ANOVA,5.5183542742,231,4,104.2471,1.8224435102,0,0.9981068129,ANOVA,-0.178160022,0,4,-0.172619,-100,0,0.4838999673,ANOVA,5.4581362714,222.5,4,98.9014,1.8001822027,0,0.0000226879,ANOVA,1.6546703958,8.5,4,5.441667,2.7792918561,1,0.9999984702,ANOVA,-0.074723425,0,4,-0.087054,-100,0,0.0012852219,Negative Binomial,0.8695340805,23.5,4,13.47396,2.3438964935,0,0.0134656519,Negative Binomial,0.8601576759,15,4,8.10744,2.1762596191,1,0.0000281042,ANOVA,1.6674909087,8.5,4,5.4625,2.7983539095,1
COUNTRY,JPN,,0.000476612,Negative Binomial,-1.814483192,23.2,3,-103.5529,-5.463487069,-1,0.632552481,ANOVA,-0.183974944,0,3,-0.172619,-100,0,0.0006919908,Negative Binomial,-1.873894652,22.5,3,-101.0986,-5.493271111,-1,0.0464287134,ANOVA,-0.679115775,0.7,3,-2.358333,-4.369047143,-1,0.886161506,ANOVA,-0.08320365,0,3,-0.087054,-100,0,0.0061286656,Negative Binomial,-0.764343243,5,3,-5.02604,-2.005208,0,0.1610029469,Negative Binomial,-0.522485168,4.3,3,-2.59256,-1.60292093,0,0.0626893775,ANOVA,-0.658325209,0.7,3,-2.3375,-4.339285714,0
SITEID(COUNTRY),JPN,1346,0.6420802766,ANOVA,-4.263857093,57.6,5,-69.1529,-2.200571181,0,0.9976528338,ANOVA,-0.161302986,0,5,-0.172619,-100,0,0.715304294,ANOVA,-4.15334071,57,5,-66.5986,-2.168396491,0,0.0299839275,ANOVA,-0.891530845,0.6,5,-2.458333,-5.097221667,-1,0.9999926377,ANOVA,-0.074723425,0,5,-0.087054,-100,0,0.001762103,Negative Binomial,-1.199339359,3,5,-7.02604,-3.342013333,-1,0.0615365352,Negative Binomial,-0.983977598,2.4,5,-4.49256,-2.8719,0,0.0405420935,ANOVA,-0.878710332,0.6,5,-2.4375,-5.0625,-1
SITEID(COUNTRY),JPN,1722,0.0065444919,Negative Binomial,-2.832479124,5,2,-121.7529,-25.35058,-1,0.9999582497,ANOVA,-0.184116245,0,2,-0.172619,-100,0,0.0087360021,Negative Binomial,-2.920831036,4.5,2,-119.0986,-27.46635556,-1,0.7874831853,ANOVA,-0.737941006,0.5,2,-2.558333,-6.116666,0,0.9999999852,ANOVA,-0.074723425,0,2,-0.087054,-100,0,0.7771116694,Negative Binomial,-0.671244912,5,2,-5.02604,-2.005208,0,0.9998340688,Negative Binomial,-0.332033995,4.5,2,-2.39256,-1.53168,0,0.8253884155,ANOVA,-0.725120493,0.5,2,-2.5375,-6.075,0
SITEID(COUNTRY),JPN,1723,0.3005647099,Negative Binomial,-2.444958807,7,1,-119.7529,-18.10755714,0,0.9999999899,ANOVA,-0.124481326,0,1,-0.172619,-100,0,0.3267765386,Negative Binomial,-2.542589598,6,1,-117.5986,-20.59976667,0,0.9999999797,ANOVA,-0.237941006,1,1,-2.058333,-3.058333,0,0.99999999,ANOVA,-0.074723425,0,1,-0.087054,-100,0,0.9998924705,Negative Binomial,-0.377330256,7,1,-3.02604,-1.432291429,0,0.99999999,Negative Binomial,-0.100756666,6,1,-0.89256,-1.14876,0,0.9999999882,ANOVA,-0.225120493,1,1,-2.0375,-3.0375,0
COUNTRY,USA,,0.2234289693,Negative Binomial,0.222259762,130.80886243,9,4.0559624339,1.0319989715,0,0.8866440562,ANOVA,-0.031800612,0.1865079365,9,0.0138889365,1.0804600682,0,0.1847321885,Negative Binomial,0.2535345184,126.69378307,9,3.0951830688,1.0250422179,0,0.0002701871,ANOVA,0.293829932,3.9722222222,9,0.9138892222,1.2988193968,0,0.8791897383,ANOVA,0.0220846825,0.126984127,9,0.039930127,1.4586822775,0,0.1727661262,ANOVA,-0.208928741,9.287037037,9,-0.739002963,-1.079573599,0,0.000131726,Negative Binomial,-0.313773807,5.208994709,9,-1.683565291,-1.323203494,0,0.0007681843,ANOVA,0.2775834606,3.9351851852,9,0.8976851852,1.2955342173,0
SITEID(COUNTRY),USA,0003,0.9976128384,Negative Binomial,0.3702128795,119.14285714,7,-7.610042857,-1.063873261,0,0.99999999,ANOVA,-0.01077649,0.2857142857,7,0.1130952857,1.6551728704,0,0.999663783,Negative Binomial,0.3284912913,111.42857143,7,-12.17002857,-1.109218205,0,1.7787019E-6,ANOVA,1.3773202349,7.4285714286,7,4.3702384286,2.4289609498,1,0.9999765291,ANOVA,0.0681337182,0.1428571429,7,0.0558031429,1.6410175622,0,0.5704369526,Negative Binomial,0.3260889802,13,7,2.97396,1.2966235922,0,0.9993949562,ANOVA,-0.271070828,5.2857142857,7,-1.606845714,-1.303997838,0,2.1997225E-6,ANOVA,1.3901407477,7.4285714286,7,4.3910714286,2.4456202234,1
SITEID(COUNTRY),USA,0005,0.0516844981,ANOVA,9.1541441595,336.33333333,3,209.58043333,2.6534567125,0,0.9996769794,ANOVA,-0.176755077,0,3,-0.172619,-100,0,0.0594510842,ANOVA,9.2398542447,330.33333333,3,206.73473333,2.6726300568,0,0.0236680244,ANOVA,1.1955800206,6,3,2.941667,1.9618530749,1,0.9999998042,ANOVA,-0.074723425,0,3,-0.087054,-100,0,0.99999999,Negative Binomial,0.0492393085,10.333333333,3,0.3072933333,1.030649522,0,0.9909165018,ANOVA,-0.552270776,4.3333333333,3,-2.559226667,-1.590590769,0,0.0255328287,ANOVA,1.2084005334,6,3,2.9625,1.975308642,1
SITEID(COUNTRY),USA,0018,0.9920554485,Negative Binomial,0.3851426029,122.42857143,7,-4.324328571,-1.035321237,0,0.9999999876,ANOVA,-0.05044662,0.1428571429,7,-0.029761857,-1.208333,0,0.9958711144,Negative Binomial,0.3811079162,117.85714286,7,-5.741457143,-1.048715394,0,0.0216610822,ANOVA,0.7683585581,4.5714285714,7,1.5130955714,1.4947451999,0,0.9999253374,ANOVA,-0.074723425,0,7,-0.087054,-100,0,0.1698484669,ANOVA,-0.826656507,6,7,-4.02604,-1.671006667,0,0.0000664776,ANOVA,-1.63354652,1.4285714286,7,-5.463988571,-4.824792,-1,0.0220687553,ANOVA,0.7811790709,4.5714285714,7,1.5339285714,1.5049970606,0
SITEID(COUNTRY),USA,0109,0.000091762,Negative Binomial,-3.097749803,2.75,4,-124.0029,-46.09196364,-1,0.9999972081,ANOVA,0.1115307041,0.25,4,0.077381,1.4482762616,0,0.0001638583,Negative Binomial,-3.224095563,2.25,4,-121.3486,-54.93271111,-1,0.2660940977,ANOVA,-0.737941006,0.5,4,-2.558333,-6.116666,0,0.9999984702,ANOVA,-0.074723425,0,4,-0.087054,-100,0,0.0348105113,Negative Binomial,-1.107529554,2.75,4,-7.27604,-3.645832727,-1,0.4075851778,Negative Binomial,-0.850348857,2.25,4,-4.64256,-3.06336,0,0.3155329565,ANOVA,-0.725120493,0.5,4,-2.5375,-6.075,0
SITEID(COUNTRY),USA,0184,0.2369908351,ANOVA,-4.329265639,46.125,8,-80.6279,-2.748030352,0,0.9997795836,ANOVA,-0.102612569,0,8,-0.172619,-100,0,0.3426727595,ANOVA,-4.113227384,45.875,8,-77.7236,-2.694247411,0,0.000303282,ANOVA,-0.987941006,0.25,8,-2.808333,-12.233332,-1,0.999816945,ANOVA,-0.074723425,0,8,-0.087054,-100,0,0.9999925931,ANOVA,-0.175583664,10.5,8,0.47396,1.0472729014,0,0.3805868939,Negative Binomial,0.402539103,10.25,8,3.35744,1.4871107397,0,0.0005054389,ANOVA,-0.975120493,0.25,8,-2.7875,-12.15,-1
