EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.022648238,Negative Binomial,0.9556786877,38.4,1,11.42963,1.4237846941,1,0.9955102769,ANOVA,0.0328378545,0.2,1,-0.007407,-1.037035,0,0.0102456704,Negative Binomial,1.2993050953,36.8,1,14.34444,1.6387923525,1,0.1404381128,ANOVA,-0.877322954,1.4,1,-2.907407,-3.076719286,0,,Negative Binomial,12.255304205,0.2,1,0.066667,1.50000375,0,0.8507064097,Negative Binomial,0.1762184126,15.4,1,-1.36852,-1.088864935,0,0.0886831013,Negative Binomial,0.6279505078,14.2,1,1.86481,1.1511780524,0,0.0845914531,ANOVA,-0.951428019,1,1,-3.262963,-4.262963,0
SITEID(COUNTRY),AUS,0029,0.0875942929,Negative Binomial,0.8629823768,38.4,5,11.42963,1.4237846941,0,0.9999933134,ANOVA,0.0422649731,0.2,5,-0.007407,-1.037035,0,0.0353597899,Negative Binomial,1.2052689404,36.8,5,14.34444,1.6387923525,1,0.2439073181,ANOVA,-0.927787198,1.4,5,-2.907407,-3.076719286,0,,Negative Binomial,12.637696896,0.2,5,0.066667,1.50000375,0,0.9994350358,Negative Binomial,0.11621761,15.4,5,-1.36852,-1.088864935,0,0.2914299348,Negative Binomial,0.5645758966,14.2,5,1.86481,1.1511780524,0,0.1479825981,ANOVA,-1.002702155,1,5,-3.262963,-4.262963,0
COUNTRY,FRA,,0.1115101038,Negative Binomial,1.1522348795,45,1,18.02963,1.6684976884,0,0.8963879121,ANOVA,-0.167162145,0,1,-0.207407,-100,0,0.0691478866,Negative Binomial,1.5366698738,43.5,1,21.04444,1.9371594385,0,0.6985295129,ANOVA,-0.701195498,1.5,1,-2.807407,-2.871604667,0,,Negative Binomial,-0.039575596,0,1,-0.133333,-100,0,0.0095481235,Negative Binomial,1.2485133978,45,1,28.23148,2.6835999838,1,0.0011862961,Negative Binomial,1.7474694813,43.5,1,31.16481,3.5264961464,1,0.6910577033,ANOVA,-0.685402615,1.5,1,-2.762963,-2.841975333,0
SITEID(COUNTRY),FRA,0111,0.3179572987,Negative Binomial,1.0595385686,45,2,18.02963,1.6684976884,0,0.9975019356,ANOVA,-0.157735027,0,2,-0.207407,-100,0,0.1967825942,Negative Binomial,1.4426337189,43.5,2,21.04444,1.9371594385,0,0.9206226742,ANOVA,-0.751659743,1.5,2,-2.807407,-2.871604667,0,,Negative Binomial,0.3428170957,0,2,-0.133333,-100,0,0.0317230429,Negative Binomial,1.1885125953,45,2,28.23148,2.6835999838,1,0.003875153,Negative Binomial,1.6840948701,43.5,2,31.16481,3.5264961464,1,0.9148393347,ANOVA,-0.736676751,1.5,2,-2.762963,-2.841975333,0
COUNTRY,GBR,,0.9751698241,Negative Binomial,0.1636508398,17,1,-9.97037,-1.586492353,0,0.0059717468,ANOVA,0.743521457,1.3333333333,1,1.1259263333,6.4285840561,0,0.7409595348,Negative Binomial,0.4889148945,14,1,-8.45556,-1.603968571,0,0.6921803119,ANOVA,-0.567220902,1.6666666667,1,-2.640740333,-2.5844442,0,,Negative Binomial,11.311169852,0.6666666667,1,0.5333336667,5.0000125,0,0.8159879987,Negative Binomial,0.2552616085,16.666666667,1,-0.101853333,-1.0061112,0,0.2734524984,Negative Binomial,0.6137658728,14,1,1.66481,1.134964277,0,0.6881531107,ANOVA,-0.551428019,1.6666666667,1,-2.596296333,-2.5577778,0
SITEID(COUNTRY),GBR,1287,0.9999998543,Negative Binomial,0.0709545289,17,3,-9.97037,-1.586492353,0,0.01271656,ANOVA,0.7529485756,1.3333333333,3,1.1259263333,6.4285840561,0,0.9888882937,Negative Binomial,0.3948787396,14,3,-8.45556,-1.603968571,0,0.8996676528,Negative Binomial,-0.558986419,1.6666666667,3,-2.640740333,-2.5844442,0,,Negative Binomial,11.693562543,0.6666666667,3,0.5333336667,5.0000125,0,0.9970747866,Negative Binomial,0.195260806,16.666666667,3,-0.101853333,-1.0061112,0,0.6446056495,Negative Binomial,0.5503912616,14,3,1.66481,1.134964277,0,0.9061290763,ANOVA,-0.602702155,1.6666666667,3,-2.596296333,-2.5577778,0
COUNTRY,USA,,0.0052195519,Negative Binomial,-0.4086424,23.722222222,6,-3.248147778,-1.136924262,0,0.1395985908,ANOVA,-0.11160659,0.0555555556,6,-0.151851444,-3.733326,0,0.0010835886,Negative Binomial,-0.596111726,17.966666667,6,-4.488893333,-1.24984564,-1,0.0288876653,ANOVA,0.4057445422,5.7,6,1.392593,1.3233019308,0,,Negative Binomial,-5.177030683,0.0555555556,6,-0.077777444,-2.399994,0,0.0382158451,Negative Binomial,-0.22446145,12.308333333,6,-4.460186667,-1.362371293,0,0.0003084938,Negative Binomial,-0.459116077,6.5527777778,6,-5.782412222,-1.882436795,-1,0.0135874528,Negative Binomial,0.4093994981,5.7,6,1.437037,1.3370981639,0
SITEID(COUNTRY),USA,0003,0.340448435,Negative Binomial,0.7863646509,46.5,4,19.52963,1.724114278,0,0.9718119453,ANOVA,-0.157735027,0,4,-0.207407,-100,0,0.9927984545,Negative Binomial,0.3764918504,28.5,4,6.04444,1.2691734252,0,0.0000105958,Negative Binomial,1.90522821,18,4,13.692593,4.1788482026,1,,Negative Binomial,-7.296995742,0,4,-0.133333,-100,0,0.2301500223,Negative Binomial,0.5906755965,24.75,4,7.98148,1.4759799911,0,0.9900899476,ANOVA,-0.514250087,6.75,4,-5.58519,-1.827435556,0,4.7079047E-6,Negative Binomial,1.8602362497,18,4,13.737037,4.2224152544,1
SITEID(COUNTRY),USA,0005,0.0444644265,Negative Binomial,-1.49459192,3.6666666667,3,-23.30370333,-7.355555455,-1,0.9893786697,ANOVA,-0.157735027,0,3,-0.207407,-100,0,0.0364808812,Negative Binomial,-2.113190962,1.3333333333,3,-21.12222667,-16.84167,-1,0.9951331433,ANOVA,-0.373668211,2.3333333333,3,-1.974073667,-1.846031571,0,,Negative Binomial,-2.07976526,0,3,-0.133333,-100,0,0.0244510213,Negative Binomial,-1.318867059,3.6666666667,3,-13.10185333,-4.573232727,-1,0.0296745141,Negative Binomial,-1.800983996,1.3333333333,3,-11.00185667,-9.2513925,-1,0.9953355134,ANOVA,-0.358685219,2.3333333333,3,-1.929629667,-1.826984143,0
SITEID(COUNTRY),USA,0018,0.5028757913,Negative Binomial,-0.86130316,8,3,-18.97037,-3.37129625,0,0.9893786697,ANOVA,-0.157735027,0,3,-0.207407,-100,0,0.1790509681,Negative Binomial,-1.631949683,2,3,-20.45556,-11.22778,0,0.806718675,ANOVA,0.735636478,6,3,1.692593,1.3929494009,0,,Negative Binomial,-7.480647968,0,3,-0.133333,-100,0,0.6383732521,Negative Binomial,-0.538708408,8,3,-8.76852,-2.096065,0,0.0714145522,Negative Binomial,-1.395518887,2,3,-10.33519,-6.167595,0,0.2659588905,Negative Binomial,0.761623961,6,3,1.737037,1.4074717515,0
