EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0062255373,Negative Binomial,0.5112825644,17,2,8.440394,1.9860727234,0,0.9634133776,Negative Binomial,0.3072531115,0.2727272727,2,0.0211802727,1.0842000609,0,0.0120552263,ANOVA,0.8253975742,15.590909091,2,9.4155090909,2.5246800354,1,0.1793148488,ANOVA,-0.308894141,1.1363636364,2,-1.031018364,-1.90729616,0,0.8268086854,Negative Binomial,0.7671601597,0.2272727273,2,0.0350697273,1.1824619141,0,0.0062255373,Negative Binomial,0.5112825644,17,2,8.440394,1.9860727234,0,0.0120552263,ANOVA,0.8253975742,15.590909091,2,9.4155090909,2.5246800354,1,0.1793148488,ANOVA,-0.308894141,1.1363636364,2,-1.031018364,-1.90729616,0
SITEID(COUNTRY),AUS,0028,0.8392527294,Negative Binomial,0.3531255137,8.9090909091,11,0.3494849091,1.0408295556,0,0.5283524681,Negative Binomial,0.9675676557,0.4545454545,11,0.2029984545,1.8070001016,0,0.9861875256,ANOVA,0.4460442325,6.6363636364,11,0.4609636364,1.0746451463,0,0.9999999831,ANOVA,0.1249818288,1.9090909091,11,-0.258291091,-1.135295333,0,0.1401630276,Negative Binomial,1.8004314281,0.3636363636,11,0.1714333636,1.8919390625,0,0.8392527294,Negative Binomial,0.3531255137,8.9090909091,11,0.3494849091,1.0408295556,0,0.9861875256,ANOVA,0.4460442325,6.6363636364,11,0.4609636364,1.0746451463,0,0.9999999831,ANOVA,0.1249818288,1.9090909091,11,-0.258291091,-1.135295333,0
SITEID(COUNTRY),AUS,0029,0.0517683551,Negative Binomial,0.7793942354,25.090909091,11,16.531303091,2.9313158913,0,0.99999999,ANOVA,-0.048254589,0.0909090909,11,-0.160637909,-2.767017,0,0.0414392047,ANOVA,1.4574121374,24.545454545,11,18.370054545,3.9747149246,1,0.1186774883,ANOVA,-0.612277528,0.3636363636,11,-1.803745636,-5.9603005,0,0.99999999,Negative Binomial,0.1511789731,0.0909090909,11,-0.101293909,-2.114233,0,0.0517683551,Negative Binomial,0.7793942354,25.090909091,11,16.531303091,2.9313158913,0,0.0414392047,ANOVA,1.4574121374,24.545454545,11,18.370054545,3.9747149246,1,0.1186774883,ANOVA,-0.612277528,0.3636363636,11,-1.803745636,-5.9603005,0
COUNTRY,DEU,,0.5443174816,Negative Binomial,-0.496808723,6.6,2,-1.959606,-1.29691,0,0.9987683397,ANOVA,0.0469593673,0.25,2,-0.001547,-1.006188,0,0.8859666389,ANOVA,-0.405230612,4.9,2,-1.2754,-1.260285714,0,0.9999899825,ANOVA,-0.044913812,1.575,2,-0.592382,-1.376115556,0,0.9999869159,ANOVA,-0.019336301,0.125,2,-0.067203,-1.537624,0,0.5443174816,Negative Binomial,-0.496808723,6.6,2,-1.959606,-1.29691,0,0.8859666389,ANOVA,-0.405230612,4.9,2,-1.2754,-1.260285714,0,0.9999899825,ANOVA,-0.044913812,1.575,2,-0.592382,-1.376115556,0
SITEID(COUNTRY),DEU,1239,0.1835689873,Negative Binomial,0.8046551775,12.2,5,3.640394,1.4252992486,0,0.9999292225,ANOVA,-0.13916368,0,5,-0.251547,-100,0,0.4000968147,ANOVA,1.1963699116,9.8,5,3.6246,1.5869417366,0,0.9999501996,ANOVA,0.2977573528,2.4,5,0.232618,1.1073267195,0,0.9999990462,ANOVA,-0.097956758,0,5,-0.192203,-100,0,0.1835689873,Negative Binomial,0.8046551775,12.2,5,3.640394,1.4252992486,0,0.4000968147,ANOVA,1.1963699116,9.8,5,3.6246,1.5869417366,0,0.9999501996,ANOVA,0.2977573528,2.4,5,0.232618,1.1073267195,0
SITEID(COUNTRY),DEU,1648,0.088289024,Negative Binomial,-1.688318004,1,4,-7.559606,-8.559606,0,0.5461453245,ANOVA,0.3608363199,0.5,4,0.248453,1.9877001117,0,0.0668129291,ANOVA,-1.754169914,0,4,-6.1754,-100,0,0.9999995402,ANOVA,-0.257092393,0.75,4,-1.417382,-2.889842667,0,0.9779239133,Negative Binomial,1.5407791572,0.25,4,0.057797,1.3007081055,0,0.088289024,Negative Binomial,-1.688318004,1,4,-7.559606,-8.559606,0,0.0668129291,ANOVA,-1.754169914,0,4,-6.1754,-100,0,0.9999995402,ANOVA,-0.257092393,0.75,4,-1.417382,-2.889842667,0
COUNTRY,ESP,,0.7818285933,Negative Binomial,-0.287783364,6.1111111111,3,-2.448494889,-1.4006628,0,0.3965605339,ANOVA,0.1858482562,0.3888888889,3,0.1373418889,1.5459889758,0,0.5959767274,ANOVA,-0.518461068,3.4722222222,3,-2.703177778,-1.7785152,0,0.9873822078,ANOVA,0.1489587263,2.3888888889,3,0.2215068889,1.1022002069,0,0.9877002891,ANOVA,-0.061002968,0.0833333333,3,-0.108869667,-2.306436,0,0.7818285933,Negative Binomial,-0.287783364,6.1111111111,3,-2.448494889,-1.4006628,0,0.5959767274,ANOVA,-0.518461068,3.4722222222,3,-2.703177778,-1.7785152,0,0.9873822078,ANOVA,0.1489587263,2.3888888889,3,0.2215068889,1.1022002069,0
SITEID(COUNTRY),ESP,1618,0.9995323103,Negative Binomial,0.2836772337,9.3333333333,6,0.7737273333,1.0903928678,0,0.99999999,Negative Binomial,0.2737923013,0.1666666667,6,-0.084880333,-1.509282,0,0.9993068544,ANOVA,-0.48758232,3.1666666667,6,-3.008733333,-1.950126316,0,0.0000471011,ANOVA,1.5103532301,6.1666666667,6,3.9992846667,2.8452144876,1,0.9999945466,ANOVA,-0.097956758,0,6,-0.192203,-100,0,0.9995323103,Negative Binomial,0.2836772337,9.3333333333,6,0.7737273333,1.0903928678,0,0.9993068544,ANOVA,-0.48758232,3.1666666667,6,-3.008733333,-1.950126316,0,0.0000471011,ANOVA,1.5103532301,6.1666666667,6,3.9992846667,2.8452144876,1
SITEID(COUNTRY),ESP,1651,0.9915421216,Negative Binomial,-0.751376223,3,2,-5.559606,-2.853202,0,0.9587396677,ANOVA,0.3608363199,0.5,2,0.248453,1.9877001117,0,0.9999999849,ANOVA,-0.460328933,2.5,2,-3.6754,-2.47016,0,0.910130623,ANOVA,-0.860645783,0,2,-2.167382,-100,0,0.99999999,ANOVA,-0.097956758,0,2,-0.192203,-100,0,0.9915421216,Negative Binomial,-0.751376223,3,2,-5.559606,-2.853202,0,0.9999999849,ANOVA,-0.460328933,2.5,2,-3.6754,-2.47016,0,0.910130623,ANOVA,-0.860645783,0,2,-2.167382,-100,0
SITEID(COUNTRY),ESP,1653,0.999997749,ANOVA,-0.459975641,6,4,-2.559606,-1.426601,0,0.5461453245,ANOVA,0.3608363199,0.5,4,0.248453,1.9877001117,0,0.99999999,ANOVA,-0.228480118,4.75,4,-1.4254,-1.300084211,0,0.99999999,ANOVA,-0.007092393,1,4,-1.167382,-2.167382,0,0.9954917428,Negative Binomial,1.3156836759,0.25,4,0.057797,1.3007081055,0,0.999997749,ANOVA,-0.459975641,6,4,-2.559606,-1.426601,0,0.99999999,ANOVA,-0.228480118,4.75,4,-1.4254,-1.300084211,0,0.99999999,ANOVA,-0.007092393,1,4,-1.167382,-2.167382,0
