EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0000194042,Negative Binomial,0.7380540077,11.318181818,2,6.1263888182,2.1800140757,0,0.1952759619,ANOVA,-0.091765707,0,2,-0.130208,-100,0,0.0080222877,ANOVA,0.7700864691,10.636363636,2,7.0204856364,2.9415714901,1,0.1526735082,ANOVA,-0.260388615,0.6818181818,2,-0.802430818,-2.176898533,0,0.8040901544,ANOVA,-0.041991075,0,2,-0.070833,-100,0,0.0000194042,Negative Binomial,0.7380540077,11.318181818,2,6.1263888182,2.1800140757,0,0.0080222877,ANOVA,0.7700864691,10.636363636,2,7.0204856364,2.9415714901,1,0.1526735082,ANOVA,-0.260388615,0.6818181818,2,-0.802430818,-2.176898533,0
SITEID(COUNTRY),AUS,0028,0.99999999,Negative Binomial,0.0820943924,4.4545454545,11,-0.737247545,-1.165504551,0,0.9991897652,ANOVA,-0.070707677,0,11,-0.130208,-100,0,0.99999999,ANOVA,0.1436134627,3.4545454545,11,-0.161332545,-1.046701526,0,0.99999999,ANOVA,0.035451164,1,11,-0.484249,-1.484249,0,0.9999996048,ANOVA,-0.037094232,0,11,-0.070833,-100,0,0.99999999,Negative Binomial,0.0820943924,4.4545454545,11,-0.737247545,-1.165504551,0,0.99999999,ANOVA,0.1436134627,3.4545454545,11,-0.161332545,-1.046701526,0,0.99999999,ANOVA,0.035451164,1,11,-0.484249,-1.484249,0
SITEID(COUNTRY),AUS,0029,5.1860352E-9,Negative Binomial,1.4885914608,18.181818182,11,12.990025182,3.5020306437,1,0.9991897652,ANOVA,-0.070707677,0,11,-0.130208,-100,0,0.0039628285,ANOVA,1.6244505513,17.818181818,11,14.202303818,4.9277607868,1,0.5537867668,ANOVA,-0.374602461,0.3636363636,11,-1.120612636,-4.08168475,0,0.9999996048,ANOVA,-0.037094232,0,11,-0.070833,-100,0,5.1860352E-9,Negative Binomial,1.4885914608,18.181818182,11,12.990025182,3.5020306437,1,0.0039628285,ANOVA,1.6244505513,17.818181818,11,14.202303818,4.9277607868,1,0.5537867668,ANOVA,-0.374602461,0.3636363636,11,-1.120612636,-4.08168475,0
COUNTRY,DEU,,0.5948266146,Negative Binomial,-0.486164477,4,2,-1.191793,-1.29794825,0,0.187431157,ANOVA,0.1582342932,0.25,2,0.119792,1.9200049152,0,0.9261484957,ANOVA,-0.328609793,2.9,2,-0.715878,-1.246854483,0,0.9971468961,ANOVA,-0.09738055,0.875,2,-0.609249,-1.696284571,0,0.0186247438,ANOVA,0.183008925,0.225,2,0.154167,3.1764855364,0,0.5948266146,Negative Binomial,-0.486164477,4,2,-1.191793,-1.29794825,0,0.9261484957,ANOVA,-0.328609793,2.9,2,-0.715878,-1.246854483,0,0.9971468961,ANOVA,-0.09738055,0.875,2,-0.609249,-1.696284571,0
SITEID(COUNTRY),DEU,1239,0.9208538285,Negative Binomial,0.5340795161,7,5,1.808207,1.3482817978,0,0.9999993202,ANOVA,-0.070707677,0,5,-0.130208,-100,0,0.7783885533,ANOVA,0.8566250716,5.8,5,2.184122,1.6040364194,0,0.99999999,ANOVA,0.0062821573,1,5,-0.484249,-1.484249,0,0.6697761382,ANOVA,0.1629057684,0.2,5,0.129167,2.823542699,0,0.9208538285,Negative Binomial,0.5340795161,7,5,1.808207,1.3482817978,0,0.7783885533,ANOVA,0.8566250716,5.8,5,2.184122,1.6040364194,0,0.99999999,ANOVA,0.0062821573,1,5,-0.484249,-1.484249,0
SITEID(COUNTRY),DEU,1648,0.3222977405,Negative Binomial,-1.411830633,1,4,-4.191793,-5.191793,0,0.0050038388,ANOVA,0.429292323,0.5,4,0.369792,3.8400098304,0,0.2757331661,ANOVA,-1.285953582,0,4,-3.615878,-100,0,0.99999999,ANOVA,-0.019417326,0.75,4,-0.734249,-1.978998667,0,0.3988577487,ANOVA,0.2129057684,0.25,4,0.179167,3.5294283738,0,0.3222977405,Negative Binomial,-1.411830633,1,4,-4.191793,-5.191793,0,0.2757331661,ANOVA,-1.285953582,0,4,-3.615878,-100,0,0.99999999,ANOVA,-0.019417326,0.75,4,-0.734249,-1.978998667,0
COUNTRY,ESP,,0.9965578078,Negative Binomial,0.129693226,5.2777777778,3,0.0859847778,1.016561673,0,0.0044460123,ANOVA,0.2415676265,0.3333333333,3,0.2031253333,2.5600065536,0,0.9957953193,Negative Binomial,0.5173730183,2.75,3,-0.865878,-1.314864727,0,0.3931893271,ANOVA,0.3325060736,2.2777777778,3,0.7935287778,1.5346331901,0,0.9780093756,ANOVA,0.0413422584,0.0833333333,3,0.0125003333,1.1764761246,0,0.9965578078,Negative Binomial,0.129693226,5.2777777778,3,0.0859847778,1.016561673,0,0.9957953193,Negative Binomial,0.5173730183,2.75,3,-0.865878,-1.314864727,0,0.3931893271,ANOVA,0.3325060736,2.2777777778,3,0.7935287778,1.5346331901,0
SITEID(COUNTRY),ESP,1618,0.5199165295,Negative Binomial,0.6465574996,7.8333333333,6,2.6415403333,1.5087915357,0,0.9999960581,ANOVA,-0.070707677,0,6,-0.130208,-100,0,0.9993314508,ANOVA,-0.434571576,2,6,-1.615878,-1.807939,0,2.1308772E-8,ANOVA,1.6623451613,5.8333333333,6,4.3490843333,3.9301581698,1,0.99999999,ANOVA,-0.037094232,0,6,-0.070833,-100,0,0.5199165295,Negative Binomial,0.6465574996,7.8333333333,6,2.6415403333,1.5087915357,0,0.9993314508,ANOVA,-0.434571576,2,6,-1.615878,-1.807939,0,2.1308772E-8,ANOVA,1.6623451613,5.8333333333,6,4.3490843333,3.9301581698,1
SITEID(COUNTRY),ESP,1651,0.9999999899,Negative Binomial,-0.313218344,3,2,-2.191793,-1.730597667,0,0.1721169528,ANOVA,0.429292323,0.5,2,0.369792,3.8400098304,0,0.99999999,ANOVA,0.1162222852,2.5,2,-1.115878,-1.4463512,0,0.9701735745,ANOVA,-0.622970717,0,2,-1.484249,-100,0,0.99999999,Negative Binomial,-0.11166648,0,2,-0.070833,-100,0,0.9999999899,Negative Binomial,-0.313218344,3,2,-2.191793,-1.730597667,0,0.99999999,ANOVA,0.1162222852,2.5,2,-1.115878,-1.4463512,0,0.9701735745,ANOVA,-0.622970717,0,2,-1.484249,-100,0
SITEID(COUNTRY),ESP,1653,0.9999999899,Negative Binomial,0.1976072795,5,4,-0.191793,-1.0383586,0,0.0050038388,ANOVA,0.429292323,0.5,4,0.369792,3.8400098304,0,0.99999999,ANOVA,0.2142002351,3.75,4,0.134122,1.0370925125,0,0.9999973532,ANOVA,0.230582674,1,4,-0.484249,-1.484249,0,0.3988577487,ANOVA,0.2129057684,0.25,4,0.179167,3.5294283738,0,0.9999999899,Negative Binomial,0.1976072795,5,4,-0.191793,-1.0383586,0,0.99999999,ANOVA,0.2142002351,3.75,4,0.134122,1.0370925125,0,0.9999973532,ANOVA,0.230582674,1,4,-0.484249,-1.484249,0
