EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0856753357,Negative Binomial,-0.523657125,94.541666667,2,-25.83843333,-1.273302071,0,0.675131692,ANOVA,0.0824528899,0.25,2,0.091518,1.5774662107,0,0.0826636058,Negative Binomial,-0.559501982,93.416666667,2,-24.08893333,-1.257865477,0,0.0016670526,ANOVA,-0.57158731,1.0416666667,2,-1.721279333,-2.65242816,0,0.9991421643,ANOVA,0.0082085288,0.0833333333,2,-0.028273667,-1.339284,0,0.0351538781,Negative Binomial,0.2986602153,13.333333333,2,4.0840773333,1.4415573894,0,0.0000325507,Negative Binomial,0.6165508211,12.208333333,2,5.8247023333,1.9124434563,1,0.0019654541,ANOVA,-0.568755303,1.0416666667,2,-1.712351333,-2.64385728,0
SITEID(COUNTRY),AUS,0028,0.0001206933,Negative Binomial,-2.014097448,10.666666667,6,-109.7134333,-11.28563438,-1,0.8131857516,ANOVA,0.2245220753,0.3333333333,6,0.1748513333,2.1032882809,0,0.0000969782,Negative Binomial,-2.160916072,8.6666666667,6,-108.8389333,-13.55833846,-1,0.9982546608,Negative Binomial,0.8910929032,2,6,-0.762946,-1.381473,0,0.9999999162,ANOVA,-0.049345252,0,6,-0.111607,-100,0,0.9999989903,Negative Binomial,0.1003846168,10.333333333,6,1.0840773333,1.1172069768,0,0.8389042835,Negative Binomial,0.3520537284,8.3333333333,6,1.9497023333,1.3054221545,0,0.9982546608,Negative Binomial,0.8876919064,2,6,-0.754018,-1.377009,0
SITEID(COUNTRY),AUS,0029,0.0620939307,Negative Binomial,0.8012426295,178.41666667,12,58.036566667,1.4821109691,0,0.99999999,ANOVA,0.0124495932,0.1666666667,12,0.0081846667,1.0516441404,0,0.0589249307,Negative Binomial,0.8532086939,178.16666667,12,60.661066667,1.5162397934,0,8.0184959E-6,ANOVA,-1.050183002,0.0833333333,12,-2.679612667,-33.155352,-1,0.9992835439,ANOVA,0.0679178985,0.1666666667,12,0.0550596667,1.4933352448,0,0.0006957144,Negative Binomial,0.5655284244,16.333333333,12,7.0840773333,1.765907802,0,4.6643165E-8,Negative Binomial,1.0191614373,16.083333333,12,9.6997023333,2.5194647581,1,0.0000105628,ANOVA,-1.046108166,0.0833333333,12,-2.670684667,-33.048216,-1
COUNTRY,GBR,,0.0004205194,ANOVA,7.2312868062,277,2,156.6199,2.301044774,1,0.8776744205,ANOVA,0.0818345527,0.25,2,0.091518,1.5774662107,0,0.0004691299,ANOVA,7.3414749626,273.125,2,155.6194,2.3243573072,1,0.3742040634,ANOVA,0.3576742783,3.875,2,1.112054,1.4024885032,0,0.9241354494,ANOVA,-0.057532871,0,2,-0.111607,-100,0,0.0470706041,Negative Binomial,0.4142046732,15.5,2,6.250744,1.6758104652,0,0.0045132162,Negative Binomial,0.6134080503,11.625,2,5.241369,1.8210639055,1,0.3751967515,ANOVA,0.3605062852,3.875,2,1.120982,1.4070351029,0
SITEID(COUNTRY),GBR,1287,0.0117933967,ANOVA,9.1005536127,325.5,4,205.1199,2.703935285,1,0.2769370125,ANOVA,0.4065409584,0.5,4,0.341518,3.1549324213,0,0.0116601211,ANOVA,9.321640855,325,4,207.4944,2.7658256287,1,0.6508181429,ANOVA,-0.633516336,0.5,4,-2.262946,-5.525892,0,0.9999999899,ANOVA,-0.045458963,0,4,-0.111607,-100,0,0.99999999,Negative Binomial,0.0328502455,9.75,4,0.500744,1.054138841,0,0.7828778419,Negative Binomial,0.4487264998,9.25,4,2.866369,1.4490185915,0,0.6729855005,ANOVA,-0.629441499,0.5,4,-2.254018,-5.508036,0
SITEID(COUNTRY),GBR,1654,0.3704436799,ANOVA,5.6765311371,228.5,4,108.1199,1.898154263,0,0.9962874538,ANOVA,-0.170805964,0,4,-0.158482,-100,0,0.4141624401,ANOVA,5.6452428264,221.25,4,103.7444,1.8828889857,0,0.0008988277,ANOVA,1.4850009868,7.25,4,4.487054,2.6240107479,1,0.9999996663,ANOVA,-0.06745119,0,4,-0.111607,-100,0,0.003837903,Negative Binomial,0.8641517115,21.25,4,12.000744,2.2974820894,0,0.0092694396,Negative Binomial,0.9162031242,14,4,7.616369,2.1931092195,1,0.0009874247,ANOVA,1.4890758233,7.25,4,4.495982,2.6325172893,1
COUNTRY,JPN,,0.0007383102,Negative Binomial,-1.771647855,23.2,3,-97.1801,-5.188797414,-1,0.7225993179,ANOVA,-0.14463605,0,3,-0.158482,-100,0,0.0011492316,Negative Binomial,-1.810294188,22.5,3,-95.0056,-5.222471111,-1,0.1649343296,ANOVA,-0.586114329,0.7,3,-2.062946,-3.947065714,0,0.9723899449,ANOVA,-0.050393122,0,3,-0.111607,-100,0,0.0154861734,Negative Binomial,-0.717443649,5,3,-4.249256,-1.8498512,0,0.2924191061,Negative Binomial,-0.444733792,4.3,3,-2.083631,-1.484565349,0,0.1741735675,ANOVA,-0.583282322,0.7,3,-2.054018,-3.934311429,0
SITEID(COUNTRY),JPN,1346,0.7178357991,ANOVA,-4.008356687,57.6,5,-62.7801,-2.089932292,0,0.9998660083,ANOVA,-0.112595605,0,5,-0.158482,-100,0,0.7749864534,ANOVA,-3.916744661,57,5,-60.5056,-2.061501754,0,0.1706592172,ANOVA,-0.787106174,0.6,5,-2.162946,-4.60491,0,0.9999999698,ANOVA,-0.050336406,0,5,-0.111607,-100,0,0.0053702062,Negative Binomial,-1.132753112,3,5,-6.249256,-3.083085333,-1,0.1224231796,ANOVA,-1.022759733,2.4,5,-3.983631,-2.65984625,0,0.185671795,ANOVA,-0.783031338,0.6,5,-2.154018,-4.59003,0
SITEID(COUNTRY),JPN,1722,0.0085205103,Negative Binomial,-2.791704729,5,2,-115.3801,-24.07602,-1,0.9999976731,ANOVA,-0.132102844,0,2,-0.158482,-100,0,0.0113040581,Negative Binomial,-2.873711375,4.5,2,-113.0056,-26.11235556,-1,0.9605779365,ANOVA,-0.633516336,0.5,2,-2.262946,-5.525892,0,0.99999999,ANOVA,-0.055465046,0,2,-0.111607,-100,0,0.9058451213,Negative Binomial,-0.601218152,5,2,-4.249256,-1.8498512,0,0.9999830936,ANOVA,-0.378571713,4.5,2,-1.883631,-1.418584667,0,0.9651699304,ANOVA,-0.629441499,0.5,2,-2.254018,-5.508036,0
SITEID(COUNTRY),JPN,1723,0.3336001585,Negative Binomial,-2.413269487,7,1,-113.3801,-17.19715714,0,0.99999999,ANOVA,-0.081110869,0,1,-0.158482,-100,0,0.3791875557,Negative Binomial,-2.477059895,6,1,-111.5056,-19.58426667,0,0.99999999,ANOVA,-0.133516336,1,1,-1.762946,-2.762946,0,0.99999999,ANOVA,-0.042144529,0,1,-0.111607,-100,0,0.9999933895,Negative Binomial,-0.315470766,7,1,-2.249256,-1.321322286,0,0.99999999,Negative Binomial,-0.002713949,6,1,-0.383631,-1.0639385,0,0.99999999,ANOVA,-0.129441499,1,1,-1.754018,-2.754018,0
