EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0809991144,Negative Binomial,-0.524726702,97.583333333,2,-25.88086667,-1.265218104,0,0.6709042484,ANOVA,0.0896726802,0.2916666667,2,0.1279766667,1.7818233653,0,0.0721992132,Negative Binomial,-0.57165401,96.416666667,2,-23.98103333,-1.248722904,0,0.0001120328,ANOVA,-0.641078192,1.0416666667,2,-1.908035333,-2.83171392,0,0.9999918096,ANOVA,0.0018703228,0.125,2,0.008185,1.0700680563,0,0.0380993201,Negative Binomial,0.2800064195,13.583333333,2,3.9203873333,1.4057134681,0,0.0000595258,Negative Binomial,0.5720013999,12.416666667,2,5.7904766667,1.8738772457,1,0.0002706834,ANOVA,-0.618184204,1.0416666667,2,-1.878273333,-2.8031424,0
SITEID(COUNTRY),AUS,0028,0.0000882947,Negative Binomial,-2.030992647,10.666666667,6,-112.7975333,-11.57476875,-1,0.9786937846,ANOVA,0.1816868317,0.3333333333,6,0.1696433333,2.0363695603,0,0.00006678,Negative Binomial,-2.190439741,8.6666666667,6,-111.7310333,-13.89204231,-1,0.9954779849,Negative Binomial,1.066373648,2,6,-0.949702,-1.474851,0,0.9999090447,ANOVA,-0.091618774,0,6,-0.116815,-100,0,0.99999999,Negative Binomial,0.0577583342,10.333333333,6,0.6703873333,1.0693771168,0,0.9515533093,Negative Binomial,0.2852046371,8.3333333333,6,1.7071433333,1.2576357354,0,0.9959539865,Negative Binomial,1.0953368924,2,6,-0.91994,-1.45997,0
SITEID(COUNTRY),AUS,0029,0.0469343138,Negative Binomial,0.8223771165,184.5,12,61.0358,1.4943603085,0,0.9998107444,Negative Binomial,0.4646461461,0.25,12,0.08631,1.5272771703,0,0.0464217149,Negative Binomial,0.8735138351,184.16666667,12,63.768966667,1.5296526982,1,2.4264612E-7,ANOVA,-1.125855869,0.0833333333,12,-2.866368667,-35.396424,-1,0.9660341214,ANOVA,0.1095656896,0.25,12,0.133185,2.1401361127,0,0.0005387926,Negative Binomial,0.5418700606,16.833333333,12,7.1703873333,1.7420498193,0,4.70421E-8,Negative Binomial,0.9673177082,16.5,12,9.87381,2.490118756,1,5.7724263E-7,ANOVA,-1.110008844,0.0833333333,12,-2.836606667,-35.03928,-1
COUNTRY,GBR,,0.0005179175,ANOVA,7.1338995894,278.125,2,154.6608,2.2526772943,1,0.9303452682,ANOVA,0.0724137818,0.25,2,0.08631,1.5272771703,0,0.0006027101,ANOVA,7.2420822333,273.875,2,153.4773,2.2747527569,1,0.2604118488,ANOVA,0.3778632632,4.25,2,1.300298,1.4408235137,0,0.7643759501,ANOVA,-0.098721909,0,2,-0.116815,-100,0,0.0168517351,Negative Binomial,0.4490085953,16.625,2,6.962054,1.7204897968,0,0.0026971325,Negative Binomial,0.6185870112,12.375,2,5.74881,1.867589067,1,0.2309332631,ANOVA,0.4007572518,4.25,2,1.33006,1.4555093598,0
SITEID(COUNTRY),GBR,1287,0.0137899505,ANOVA,8.9841299042,326.25,4,202.7858,2.6424663992,1,0.6503858484,ANOVA,0.3483534984,0.5,4,0.33631,3.0545543405,0,0.0138127851,ANOVA,9.2213102668,325.75,4,205.3523,2.7056164694,1,0.3529865723,ANOVA,-0.709189202,0.5,4,-2.449702,-5.899404,0,0.9999942035,ANOVA,-0.091618774,0,4,-0.116815,-100,0,0.99999999,Negative Binomial,0.0658850894,10.5,4,0.837054,1.0866251348,0,0.6980926153,Negative Binomial,0.4600997496,10,4,3.37381,1.5091628824,0,0.4199082003,ANOVA,-0.693342177,0.5,4,-2.41994,-5.83988,0
SITEID(COUNTRY),GBR,1654,0.39435296,ANOVA,5.5964237966,230,4,106.5358,1.8628881895,0,0.9996359462,ANOVA,-0.151646502,0,4,-0.16369,-100,0,0.4475268055,ANOVA,5.5522682234,222,4,101.6023,1.8438890444,0,0.0000760836,ANOVA,1.588687854,8,4,5.050298,2.7121383787,1,0.9999942035,ANOVA,-0.091618774,0,4,-0.116815,-100,0,0.0013697803,Negative Binomial,0.8717476571,22.75,4,13.087054,2.3543544588,0,0.008719315,Negative Binomial,0.8855938183,14.75,4,8.12381,2.2260152516,1,0.0000936721,ANOVA,1.6045348794,8,4,5.08006,2.7397823243,1
COUNTRY,JPN,,0.0005783378,Negative Binomial,-1.791847283,23.2,3,-100.2642,-5.321732759,-1,0.6465757887,ANOVA,-0.177586218,0,3,-0.16369,-100,0,0.0008816311,Negative Binomial,-1.842236037,22.5,3,-97.8977,-5.351008889,-1,0.0654982736,ANOVA,-0.655605211,0.7,3,-2.249702,-4.21386,0,0.8647208827,ANOVA,-0.098721909,0,3,-0.116815,-100,0,0.0079779558,Negative Binomial,-0.745665164,5,3,-4.662946,-1.9325892,0,0.1902602266,Negative Binomial,-0.496874945,4.3,3,-2.32619,-1.540974419,0,0.0891539005,ANOVA,-0.632711223,0.7,3,-2.21994,-4.171342857,0
SITEID(COUNTRY),JPN,1346,0.6733619688,ANOVA,-4.147211049,57.6,5,-65.8642,-2.143475694,0,0.9986187535,ANOVA,-0.151646502,0,5,-0.16369,-100,0,0.743445035,ANOVA,-4.039505903,57,5,-63.3977,-2.112240351,0,0.0490241119,ANOVA,-0.862779041,0.6,5,-2.349702,-4.91617,-1,0.9999732355,ANOVA,-0.091618774,0,5,-0.116815,-100,0,0.0023801367,Negative Binomial,-1.175926641,3,5,-6.662946,-3.220982,-1,0.0756677725,Negative Binomial,-0.95454017,2.4,5,-4.22619,-2.7609125,0,0.0680428419,ANOVA,-0.846932015,0.6,5,-2.31994,-4.866566667,0
SITEID(COUNTRY),JPN,1722,0.0073692248,Negative Binomial,-2.808862286,5,2,-118.4642,-24.69284,-1,0.9999959604,ANOVA,-0.151646502,0,2,-0.16369,-100,0,0.0099708353,Negative Binomial,-2.894050742,4.5,2,-115.8977,-26.75504444,-1,0.8495437978,ANOVA,-0.709189202,0.5,2,-2.449702,-5.899404,0,0.9999999562,ANOVA,-0.091618774,0,2,-0.116815,-100,0,0.8170354158,Negative Binomial,-0.648041205,5,2,-4.662946,-1.9325892,0,0.9999365942,Negative Binomial,-0.304275773,4.5,2,-2.12619,-1.472486667,0,0.8851833115,ANOVA,-0.693342177,0.5,2,-2.41994,-5.83988,0
SITEID(COUNTRY),JPN,1723,0.3135465536,Negative Binomial,-2.429870078,7,1,-116.4642,-17.63774286,0,0.9999999665,ANOVA,-0.151646502,0,1,-0.16369,-100,0,0.3489074366,Negative Binomial,-2.51445169,6,1,-114.3977,-20.06628333,0,0.9999999899,ANOVA,-0.209189202,1,1,-1.949702,-2.949702,0,0.99999999,ANOVA,-0.091618774,0,1,-0.116815,-100,0,0.9999528375,Negative Binomial,-0.353604314,7,1,-2.662946,-1.380420857,0,0.99999999,Negative Binomial,-0.069029572,6,1,-0.62619,-1.104365,0,0.99999999,ANOVA,-0.193342177,1,1,-1.91994,-2.91994,0
