EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.07050851,Negative Binomial,-0.558566821,94.208333333,2,-21.20086667,-1.225042371,0,0.5671210169,ANOVA,0.0844210042,0.25,2,0.130208,2.0869507146,0,0.0627841475,Negative Binomial,-0.606282783,93.083333333,2,-19.61306667,-1.210704387,0,0.0019894548,ANOVA,-0.630055684,1.0416666667,2,-1.586607333,-2.52314304,0,0.999518338,ANOVA,-0.00568358,0.0833333333,2,0.0223213333,1.3658515265,0,0.0037317859,Negative Binomial,0.4274208705,13.083333333,2,4.2511163333,1.4813192807,0,0.0000246915,Negative Binomial,0.6348954088,11.958333333,2,5.7908483333,1.9389318877,1,0.0025171822,ANOVA,-0.621507819,1.0416666667,2,-1.562053333,-2.4995712,0
SITEID(COUNTRY),AUS,0028,0.0001669173,Negative Binomial,-2.036869751,10.166666667,6,-105.2425333,-11.35172459,-1,0.6779297569,ANOVA,0.2254588005,0.3333333333,6,0.2135413333,2.7826009528,0,0.0001237569,Negative Binomial,-2.208147993,8.1666666667,6,-104.5297333,-13.79955918,-1,0.9969059897,Negative Binomial,0.9478969184,2,6,-0.628274,-1.314137,0,0.9999953777,ANOVA,-0.056592482,0,6,-0.061012,-100,0,0.9988643749,Negative Binomial,0.1968478519,10,6,1.167783,1.1322185585,0,0.8863679889,Negative Binomial,0.3250177002,8,6,1.832515,1.2971251653,0,0.9970646569,Negative Binomial,1.006773667,2,6,-0.60372,-1.30186,0
SITEID(COUNTRY),AUS,0029,0.1707580265,Negative Binomial,0.7280596425,178.25,12,62.8408,1.544504251,0,0.999999229,Negative Binomial,0.377794683,0.1666666667,12,0.0468746667,1.3913004764,0,0.1658822999,Negative Binomial,0.7763376213,178,12,65.3036,1.5794648276,0,0.0000166718,ANOVA,-1.144285816,0.0833333333,12,-2.544940667,-31.539288,-1,0.9986002642,ANOVA,0.0612586486,0.1666666667,12,0.1056546667,2.731703053,0,0.0002282491,Negative Binomial,0.6772143988,16.166666667,12,7.3344496667,1.8304200029,0,1.0436274E-7,Negative Binomial,1.0575490042,15.916666667,12,9.7491816667,2.5807386101,1,0.000021368,ANOVA,-1.138285912,0.0833333333,12,-2.520386667,-31.24464,-1
COUNTRY,GBR,,0.0020555413,ANOVA,6.3045237586,260.625,2,145.2158,2.2582688382,1,0.6889357916,ANOVA,0.1088287724,0.25,2,0.130208,2.0869507146,0,0.0021663836,ANOVA,6.4181039646,256.75,2,144.0536,2.2782449129,1,0.4407931397,ANOVA,0.3598651436,3.75,2,1.121726,1.4267918794,0,0.845407882,ANOVA,-0.064609145,0,2,-0.061012,-100,0,0.015730914,Negative Binomial,0.5395593671,15.25,2,6.417783,1.7266333017,0,0.0019374454,Negative Binomial,0.6447945996,11.625,2,5.457515,1.8848850058,1,0.7344249232,ANOVA,0.2457601455,3.625,2,1.02128,1.3922387968,0
SITEID(COUNTRY),GBR,1287,0.0291027357,ANOVA,8.2137286157,305,4,189.5908,2.6427702471,1,0.1891744025,ANOVA,0.3921254671,0.5,4,0.380208,4.1739014291,0,0.0283911325,ANOVA,8.4218441741,304,4,191.3036,2.697512964,1,0.9889798385,ANOVA,-0.412962429,0.75,4,-1.878274,-3.504365333,0,0.9999997521,ANOVA,-0.056592482,0,4,-0.061012,-100,0,0.9999841381,Negative Binomial,0.1715300421,9.75,4,0.917783,1.1039130945,0,0.684604965,Negative Binomial,0.4696574384,9.25,4,3.082515,1.4998009724,0,0.732072973,ANOVA,-0.651376115,0.5,4,-2.10372,-5.20744,0
SITEID(COUNTRY),GBR,1654,0.5560137355,ANOVA,4.9672167562,216.25,4,100.8408,1.8737674293,0,0.9999332455,ANOVA,-0.107874533,0,4,-0.119792,-100,0,0.5938820704,ANOVA,4.9567483461,209.5,4,96.8036,1.8589768617,0,0.0177118927,ANOVA,1.2710278338,6.75,4,4.121726,2.5682253829,1,0.9999997521,ANOVA,-0.056592482,0,4,-0.061012,-100,0,0.0079480129,Negative Binomial,0.926809202,20.75,4,11.917783,2.3493535089,1,0.0051775871,Negative Binomial,0.9327076476,14,4,7.832515,2.2699690392,1,0.0173433747,ANOVA,1.2824833057,6.75,4,4.14628,2.5924446561,1
COUNTRY,JPN,,0.0015444086,Negative Binomial,-1.710303355,23.2,3,-92.2092,-4.974534483,-1,0.6677933107,ANOVA,-0.141171228,0,3,-0.119792,-100,0,0.0026112174,Negative Binomial,-1.735780991,22.5,3,-90.1964,-5.008728889,-1,0.1942289033,ANOVA,-0.607916599,0.7,3,-1.928274,-3.754677143,0,0.9144187212,ANOVA,-0.064609145,0,3,-0.061012,-100,0,0.0915704219,ANOVA,-0.86829337,5,3,-3.832217,-1.7664434,0,0.3214393077,Negative Binomial,-0.420241287,4.3,3,-1.867485,-1.434298837,0,0.2134230833,ANOVA,-0.596200743,0.7,3,-1.90372,-3.7196,0
SITEID(COUNTRY),JPN,1346,0.6580537866,ANOVA,-4.121184998,57.6,5,-57.8092,-2.003631944,0,0.9997213159,ANOVA,-0.107874533,0,5,-0.119792,-100,0,0.7202743587,ANOVA,-4.028262402,57,5,-55.6964,-1.977129825,0,0.2353687927,ANOVA,-0.805493893,0.6,5,-2.028274,-4.380456667,0,0.9999987521,ANOVA,-0.056592482,0,5,-0.061012,-100,0,0.0191098612,ANOVA,-1.345910467,3,5,-5.832217,-2.944072333,-1,0.1364345646,Negative Binomial,-0.878620755,2.4,5,-3.767485,-2.569785417,0,0.2642891988,ANOVA,-0.792952124,0.6,5,-2.00372,-4.339533333,0
SITEID(COUNTRY),JPN,1722,0.015337234,Negative Binomial,-2.717489686,5,2,-110.4092,-23.08184,-1,0.9999993951,ANOVA,-0.107874533,0,2,-0.119792,-100,0,0.0227824993,Negative Binomial,-2.771458235,4.5,2,-108.1964,-25.04364444,-1,0.9773459581,ANOVA,-0.640276154,0.5,2,-2.128274,-5.256548,0,0.9999999899,ANOVA,-0.056592482,0,2,-0.061012,-100,0,0.9845771307,ANOVA,-0.736308934,5,2,-3.832217,-1.7664434,0,0.9999951965,Negative Binomial,-0.247615684,4.5,2,-1.667485,-1.370552222,0,0.9822899228,ANOVA,-0.626729721,0.5,2,-2.10372,-5.20744,0
SITEID(COUNTRY),JPN,1723,0.3525336619,Negative Binomial,-2.447275938,7,1,-108.4092,-16.48702857,0,0.9999999889,ANOVA,-0.107874533,0,1,-0.119792,-100,0,0.381757258,Negative Binomial,-2.552270347,6,1,-106.6964,-18.78273333,0,0.99999999,ANOVA,-0.170477075,1,1,-1.628274,-2.628274,0,0.99999999,ANOVA,-0.056592482,0,1,-0.061012,-100,0,0.9999999483,ANOVA,-0.370273342,7,1,-1.832217,-1.261745286,0,0.99999999,Negative Binomial,0.0346764086,6,1,-0.167485,-1.027914167,0,0.99999999,ANOVA,-0.159540034,1,1,-1.60372,-2.60372,0
