EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.0017429026,Negative Binomial,0.6395542949,12.545454545,2,6.8574075455,2.2055820821,0,0.9984044381,ANOVA,-0.021982789,0.0909090909,2,-0.046874909,-1.515624,0,0.001321141,ANOVA,0.8970574605,11.772727273,2,7.7554402727,2.930516857,1,0.3339315655,ANOVA,-0.229478399,0.7727272727,2,-0.810069727,-2.048325529,0,0.8738789394,ANOVA,-0.032601665,0,2,-0.0625,-100,0,0.0017767273,Negative Binomial,0.6403279028,12.545454545,2,6.8620365455,2.2073784729,0,0.001321141,ANOVA,0.8970574605,11.772727273,2,7.7554402727,2.930516857,1,0.3339315655,ANOVA,-0.229478399,0.7727272727,2,-0.810069727,-2.048325529,0
SITEID(COUNTRY),AUS,0028,0.776065151,Negative Binomial,0.4152463196,6,11,0.311953,1.0548436045,0,,Negative Binomial,10.258148237,0.1818181818,11,0.0440341818,1.3195884995,0,0.9403357868,ANOVA,0.4630517742,4.8181818182,11,0.8008948182,1.1993621113,0,0.999999866,ANOVA,0.1218897158,1.1818181818,11,-0.400978818,-1.339289769,0,0.9999999576,ANOVA,-0.02869087,0,11,-0.0625,-100,0,0.7667120934,Negative Binomial,0.4193015871,6,11,0.316582,1.0557027479,0,0.9403357868,ANOVA,0.4630517742,4.8181818182,11,0.8008948182,1.1993621113,0,0.999999866,ANOVA,0.1218897158,1.1818181818,11,-0.400978818,-1.339289769,0
SITEID(COUNTRY),AUS,0029,0.0128864344,Negative Binomial,0.9990680038,19.090909091,11,13.402862091,3.3563205597,1,,Negative Binomial,-4.345891439,0,11,-0.137784,-100,0,0.0064230764,ANOVA,1.5693723163,18.727272727,11,14.709985727,4.6616716026,1,0.5052096373,ANOVA,-0.407967296,0.3636363636,11,-1.219160636,-4.35269175,0,0.9999999576,ANOVA,-0.02869087,0,11,-0.0625,-100,0,0.0130849657,Negative Binomial,1.000592387,19.090909091,11,13.407491091,3.3590541978,1,0.0064230764,ANOVA,1.5693723163,18.727272727,11,14.709985727,4.6616716026,1,0.5052096373,ANOVA,-0.407967296,0.3636363636,11,-1.219160636,-4.35269175,0
COUNTRY,DEU,,0.8775409246,Negative Binomial,-0.353764281,4.1,2,-1.588047,-1.387328537,0,0.5031048315,ANOVA,0.1371081201,0.25,2,0.112216,1.8144341868,0,0.8331617321,ANOVA,-0.401318841,3.1,2,-0.917287,-1.295899032,0,0.9914897264,ANOVA,-0.126372028,0.875,2,-0.707797,-1.808910857,0,0.4040245252,ANOVA,0.0923983353,0.125,2,0.0625,2,0,0.8821021967,Negative Binomial,-0.351122165,4.1,2,-1.583418,-1.386199512,0,0.8331617321,ANOVA,-0.401318841,3.1,2,-0.917287,-1.295899032,0,0.9914897264,ANOVA,-0.126372028,0.875,2,-0.707797,-1.808910857,0
SITEID(COUNTRY),DEU,1239,0.6053640826,Negative Binomial,0.6979483562,7.2,5,1.511953,1.2658123254,0,,Negative Binomial,-4.155443432,0,5,-0.137784,-100,0,0.8473612369,ANOVA,0.8121713122,6.2,5,2.182713,1.5433301131,0,0.99999999,ANOVA,-0.027082677,1,5,-0.582797,-1.582797,0,0.99999999,Negative Binomial,0.2190257501,0,5,-0.0625,-100,0,0.5991501668,Negative Binomial,0.7025801785,7.2,5,1.516582,1.2668432975,0,0.8473612369,ANOVA,0.8121713122,6.2,5,2.182713,1.5433301131,0,0.99999999,ANOVA,-0.027082677,1,5,-0.582797,-1.582797,0
SITEID(COUNTRY),DEU,1648,0.5203318211,Negative Binomial,-1.270271184,1,4,-4.688047,-5.688047,0,,Negative Binomial,11.316029279,0.5,4,0.362216,3.6288683737,0,0.1868172532,ANOVA,-1.376499825,0,4,-4.017287,-100,0,0.99999999,ANOVA,-0.05278216,0.75,4,-0.832797,-2.110396,0,0.1430514234,ANOVA,0.2213091297,0.25,4,0.1875,4,0,0.5294016494,Negative Binomial,-1.265586341,1,4,-4.683418,-5.683418,0,0.1868172532,ANOVA,-1.376499825,0,4,-4.017287,-100,0,0.99999999,ANOVA,-0.05278216,0.75,4,-0.832797,-2.110396,0
COUNTRY,ESP,,0.9997814915,Negative Binomial,0.0786003084,5.4444444444,3,-0.243602556,-1.044743327,0,0.0426985966,ANOVA,0.2204414535,0.3333333333,3,0.1955493333,2.4192455825,0,0.982984043,ANOVA,-0.215061908,2.8055555556,3,-1.211731444,-1.431904277,0,0.4639664262,ANOVA,0.3320756413,2.3888888889,3,0.8060918889,1.5092831796,0,0.8924246837,ANOVA,0.0507316686,0.0833333333,3,0.0208333333,1.3333333333,0,0.9997585121,Negative Binomial,0.0801653805,5.4444444444,3,-0.238973556,-1.043893102,0,0.982984043,ANOVA,-0.215061908,2.8055555556,3,-1.211731444,-1.431904277,0,0.4639664262,ANOVA,0.3320756413,2.3888888889,3,0.8060918889,1.5092831796,0
SITEID(COUNTRY),ESP,1618,0.4921839671,Negative Binomial,0.6437207627,8.3333333333,6,2.6452863333,1.4650605618,0,,Negative Binomial,-4.239502791,0,6,-0.137784,-100,0,0.9998991457,ANOVA,-0.385693225,2.1666666667,6,-1.850620333,-1.854132462,0,4.6873175E-8,ANOVA,1.7146634627,6.1666666667,6,4.5838696667,3.89605658,1,0.99999999,Negative Binomial,0.1200672267,0,6,-0.0625,-100,0,0.4879242918,Negative Binomial,0.6472527784,8.3333333333,6,2.6499153333,1.4662538165,0,0.9998991457,ANOVA,-0.385693225,2.1666666667,6,-1.850620333,-1.854132462,0,4.6873175E-8,ANOVA,1.7146634627,6.1666666667,6,4.5838696667,3.89605658,1
SITEID(COUNTRY),ESP,1651,0.99999999,Negative Binomial,-0.286269651,3,2,-2.688047,-1.896015667,0,,Negative Binomial,11.263252196,0.5,2,0.362216,3.6288683737,0,0.99999999,ANOVA,0.006653007,2.5,2,-1.517287,-1.6069148,0,0.9720909513,ANOVA,-0.656335551,0,2,-1.582797,-100,0,0.99999999,Negative Binomial,0.1250388611,0,2,-0.0625,-100,0,0.99999999,Negative Binomial,-0.282260431,3,2,-2.683418,-1.894472667,0,0.99999999,ANOVA,0.006653007,2.5,2,-1.517287,-1.6069148,0,0.9720909513,ANOVA,-0.656335551,0,2,-1.582797,-100,0
SITEID(COUNTRY),ESP,1653,0.99999999,Negative Binomial,0.0811584139,5,4,-0.688047,-1.1376094,0,,Negative Binomial,11.220601551,0.5,4,0.362216,3.6288683737,0,0.99999999,ANOVA,0.0913182484,3.75,4,-0.267287,-1.071276533,0,0.9999999535,ANOVA,0.1972178398,1,4,-0.582797,-1.582797,0,0.1430514234,ANOVA,0.2213091297,0.25,4,0.1875,4,0,0.99999999,Negative Binomial,0.0843610465,5,4,-0.683418,-1.1366836,0,0.99999999,ANOVA,0.0913182484,3.75,4,-0.267287,-1.071276533,0,0.9999999535,ANOVA,0.1972178398,1,4,-0.582797,-1.582797,0
